destination	origin_snapshot_path	origin_sha256	ported_sha256	status
theories/ntt/Hpoly_extract.ec	haetae-ntt-verify/easycrypt-ct/Hpoly_extract.ec	dedbc92e134f426bcf7e0fc5ee9be86babf3aeceb46cf24c4e450c10bb1e152f	dedbc92e134f426bcf7e0fc5ee9be86babf3aeceb46cf24c4e450c10bb1e152f	byte-exact
theories/ntt/Hpoly_loop.ec	haetae-ntt-verify/easycrypt-ct/Hpoly_loop.ec	cb223b76f97797a18c84105f6c17e1eb9d7e49ccd939f2001feba419f9fa7afe	cb223b76f97797a18c84105f6c17e1eb9d7e49ccd939f2001feba419f9fa7afe	byte-exact
theories/ntt/Montgomery.ec	haetae-ntt-verify/easycrypt-ct/Montgomery.ec	f0f5be2fd59f67c5018189e1a4a842a0dd769380b88ea607d56e8ca115da8387	f0f5be2fd59f67c5018189e1a4a842a0dd769380b88ea607d56e8ca115da8387	byte-exact
theories/ntt/Fq.ec	haetae-ntt-verify/easycrypt-ct/Fq.ec	9a74258fb09e829679562b6a940777ef522232d6400d9acba6c3bcead29216b9	9a74258fb09e829679562b6a940777ef522232d6400d9acba6c3bcead29216b9	byte-exact
theories/ntt/GFq.ec	haetae-ntt-verify/easycrypt-ct/GFq.ec	cc7232b90e6850124448a0538822e5a7dabe46e126d8bf691e18279f26426848	cc7232b90e6850124448a0538822e5a7dabe46e126d8bf691e18279f26426848	byte-exact
theories/ntt/Rq.ec	haetae-ntt-verify/easycrypt-ct/Rq.ec	22d6864b50d6daf9141318262a2e269b5e2c5a5f86cda7e9899bab07c6f36b11	22d6864b50d6daf9141318262a2e269b5e2c5a5f86cda7e9899bab07c6f36b11	byte-exact
theories/ntt/Fastexp.ec	haetae-ntt-verify/easycrypt-ct/Fastexp.ec	a1f7a3562c743eab602cf98f6380339c63aa3824448380e570b1dcbbb3e450b3	a1f7a3562c743eab602cf98f6380339c63aa3824448380e570b1dcbbb3e450b3	byte-exact
theories/ntt/NTT_Fq.ec	haetae-ntt-verify/easycrypt-ct/NTT_Fq.ec	62181de33a8ff2e730f7773f0e8148c0eee6f27c7509dfc1e9e60e6258e6d074	62181de33a8ff2e730f7773f0e8148c0eee6f27c7509dfc1e9e60e6258e6d074	byte-exact
theories/ntt/NTTFullSpec.ec	haetae-ntt-verify/easycrypt-ct/NTTFullSpec.ec	949f925251d048642a3d4d222b59d7acdf85cf27a0fa6016fabf5df4a5645516	949f925251d048642a3d4d222b59d7acdf85cf27a0fa6016fabf5df4a5645516	byte-exact
theories/ntt/NTTFullAlgebra.ec	haetae-ntt-verify/easycrypt-ct/NTTFullAlgebra.ec	e5cade55a560aed0112fce32651f1c2c97c1fdf605944fe67034a40234924fdc	e5cade55a560aed0112fce32651f1c2c97c1fdf605944fe67034a40234924fdc	byte-exact
theories/ntt/RefJasminNTTLoop.ec	haetae-ref-easycrypt/easycrypt/support/RefJasminNTTLoop.ec	3e26d8f7bac6a2dc14fa86e930218c95f27a7af949bf18f60da7b2c295d82c36	3e26d8f7bac6a2dc14fa86e930218c95f27a7af949bf18f60da7b2c295d82c36	byte-exact
proofs/NTTCorrectness.ec	haetae-ref-easycrypt/easycrypt/refinement/TargetNTTRefinement.ec	197b0feffc0f196001081daba81a284f9a2b54111b729c46242569de357a4de8	8f07f01ac14508102d0c5ed256f6ee95e86ed042a782fe41112fecfd22986146	adapted-theory-name-and-version-header;added-total-correctness
