file,line,kind,symbol,classification,status,linked_id,closure_criterion
HAETAE_Security.ec,37,declared_module,H,idealized model interface,RETAINED,MODEL-ROM,Retain as a universally quantified random-oracle module under the declared restrictions.
HAETAE_Security.ec,38,declared_module,A,idealized model interface,RETAINED,OBL-COMPOSE,Retain as the arbitrary correctness adversary quantified by the game.
HAETAE_Security.ec,75,declared_module,H,idealized model interface,RETAINED,MODEL-ROM,Retain as a universally quantified random-oracle module under the declared restrictions.
HAETAE_Security.ec,76,declared_module,N,idealized model interface,RETAINED,OBL-COMPOSE,Retain as the arbitrary no-message adversary quantified by the reduction.
HAETAE_Security.ec,77,declared_module,Bmlwe,retained cryptographic assumption,RETAINED,CRYPTO-MLWE,Retain only as a quantified reduction module over the exact MLWE game.
HAETAE_Security.ec,78,declared_module,Bbimodal,retained cryptographic assumption,RETAINED,CRYPTO-MSIS,Retain only as a quantified reduction module over the exact bimodal self-target MSIS game.
HAETAE_Security.ec,79,declared_module,Bsis,retained cryptographic assumption,RETAINED,CRYPTO-MSIS,Retain only as a quantified reduction module over the exact Module-SIS game.
HAETAE_Security.ec,129,declared_module,H,idealized model interface,RETAINED,MODEL-ROM,Retain as a universally quantified random-oracle module under the declared restrictions.
HAETAE_Security.ec,130,declared_module,A,idealized model interface,RETAINED,OBL-COMPOSE,Retain as the arbitrary EUF-CMA adversary quantified by the theorem.
HAETAE_Security.ec,131,declared_module,N,idealized model interface,RETAINED,OBL-COMPOSE,Retain as the arbitrary no-message adversary quantified by the reduction.
HAETAE_Security.ec,132,declared_module,Bmlwe,retained cryptographic assumption,RETAINED,CRYPTO-MLWE,Retain only as a quantified reduction module over the exact MLWE game.
HAETAE_Security.ec,133,declared_module,Bbimodal,retained cryptographic assumption,RETAINED,CRYPTO-MSIS,Retain only as a quantified reduction module over the exact bimodal self-target MSIS game.
HAETAE_Security.ec,134,declared_module,Bsis,retained cryptographic assumption,RETAINED,CRYPTO-MSIS,Retain only as a quantified reduction module over the exact Module-SIS game.
HAETAE_Security.ec,213,declared_module,H,idealized model interface,RETAINED,MODEL-ROM,Retain as a universally quantified random-oracle module under the declared restrictions.
HAETAE_Security.ec,215,declared_module,A,idealized model interface,RETAINED,OBL-COMPOSE,Retain as the arbitrary EUF-CMA adversary quantified by the theorem.
HAETAE_Security.ec,218,declared_module,N,idealized model interface,RETAINED,OBL-COMPOSE,Retain as the arbitrary no-message adversary quantified by the reduction.
